"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"NPLr102","NPL001",12492227714.4779,27466763612.4595,0.454812510521304
"NPLr102","NPL002",7279377160.78595,27466763612.4595,0.265024932077686
"NPLr103","NPL001",17386710356.4851,29469410883.7816,0.58999178589124
"NPLr104","NPL001",26466440228.2081,42492463316.5243,0.622850222427938
"NPLr105","NPL001",8110126392.26279,19749353199.5287,0.410652759628419
"NPLr105","NPL002",5251302087.67917,19749353199.5287,0.265897421278814
"PAKr101","PAK005",61547317845.0972,205741522671.353,0.29914874278155
"PAKr105","PAK022",837714896.582137,845477465.785547,0.990818715438858
"PAKr107","PAK001",8080720333.62858,13897556792.358,0.581448988074796
"PERr101","PER001",34854893573.953,112991685268.269,0.30847308358309
"PERr102","PER001",377119997775.523,570475715727.983,0.661062315850345
"PERr103","PER002",116102881031.968,250380668595.063,0.463705451716559
"PNGr102","PNG001",9432094027.84421,34804393353.9878,0.271002971720048
"PNGr103","PNG003",29437327706.0976,29437409047.7294,0.999997236793779
"PNGr107","PNG001",6799291934.87847,15925135005.3737,0.426953487840709
"PNGr121","PNG001",4687558893.52795,9783407027.77257,0.479133586103612
"POLr106","POL002",6218808628.21056,17808734439.9115,0.349199919241508
"PRTr101","PRT002",18153004984.3825,18155599168.7539,0.999857113811158
"PRTr102","PRT003",4427668054.59156,4965662774.13666,0.891657016592586
"PRTr103","PRT002",9478790218.27093,34113284181.9223,0.277862142141508
"PRTr103","PRT006",15022654892.8033,34113284181.9223,0.440375509220665
"PRTr104","PRT006",5159626175.64782,7782120717.32827,0.663010297971734
"PRTr105","PRT006",10399829968.4472,23739671591.963,0.438078089166494
"PRYr101","PRY002",272198668236.712,296167306031.313,0.919070615471424
"PRYr102","PRY001",40460873589.2868,42061591224.6706,0.961943483620636
"PRYr103","PRY001",20562402096.7533,25571020026.4113,0.804129130379439
"PRYr104","PRY002",26344674685.3275,32937533032.7182,0.799837518467404
"PRYr105","PRY002",2530632087.84887,2547841854.54706,0.993245355214067
"ROUr101","ROU001",36835168269.4384,36841171060.6966,0.99983706296284
"ROUr102","ROU001",35705795840.6297,35713822272.3999,0.999775256994086
"ROUr103","ROU001",34466526717.7713,34467138583.5015,0.999982247852438
"ROUr104","ROU001",29212586438.9713,29213281762.8143,0.999976198365911
"ROUr105","ROU001",32023438583.0882,32025748430.4161,0.999927875305306
"ROUr106","ROU001",34158330156.8127,34161206808.8651,0.99991579184926
"ROUr107","ROU001",34111120230.7688,34111120230.7696,0.999999999999977
"ROUr108","ROU001",1805113064.66236,1805113064.66241,0.99999999999997
"SGPt","SGP001",697024830.010681,697024830.010601,1.00000000000011
"SURr101","GUY001",64338719.7506858,165447722.950304,0.388876429384352
"SURr101","SUR001",152689757.84585,165447722.950304,0.922888240001428
"SURr102","SUR001",5845141060.72285,5851954475.47872,0.998835702706776
"SURr103","SUR001",12418448188.0113,12782697569.6785,0.971504498195178
"SURr104","SUR001",6915457876.37554,7117228833.88014,0.97165034844122
