"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"GEOr109","GEO003",2121830896.04174,6336870531.72425,0.334838921738928
"GEOr109","GEO006",2214090226.48898,6336870531.72425,0.349398053093334
"GIBt","ESP007",7208062.95646863,7208062.95646953,0.999999999999876
"GRCr101","GRC001",2889938160.10026,3846700057.00076,0.751277229125454
"GRCr102","GRC006",5416430982.25496,5450223499.14281,0.993799792450133
"GRCr103","GRC006",3882162605.41863,3882214599.71014,0.999986607053737
"GRCr104","GRC006",8372346318.24696,8372346318.247,0.999999999999995
"GRCr105","GRC004",14043855791.0922,14183038744.2427,0.990186661993926
"GRCr107","GRC005",9415797914.11202,9520894855.4893,0.988961442913459
"GRCr108","GRC002",9077008004.21356,9227198996.1201,0.983723013671896
"GRCr110","GRC003",2338196482.57443,2338413644.16145,0.999907132945636
"GTMr101","GTM003",1415422940.7837,2212158665.6629,0.639837893526297
"GTMr102","GTM003",5601798294.0885,12864928241.6427,0.435431755923517
"GTMr103","GTM003",14955609608.834,15561488116.7459,0.961065516140463
"GTMr108","GTM002",20939929291.6631,36148532895.6565,0.579274665229338
"GUYr101","GUY002",19218692660.1355,19492606022.5247,0.985947832625732
"GUYr102","GUY002",5815135736.75577,5948168626.51678,0.977634647214278
"GUYr103","GUY002",3116652175.08849,3284525894.24308,0.948889512654223
"GUYr104","GUY002",2060700785.38117,2113885497.05326,0.974840306276649
"GUYr105","GUY002",3954601490.80078,4025225283.02462,0.982454698244671
"GUYr106","GUY002",35121133811.5145,35196036779.8297,0.997871835150537
"GUYr107","GUY002",46968946395.8432,47224881985.4387,0.994580492764928
"GUYr108","GUY002",19338951490.3441,19343882490.1416,0.999745087378399
"GUYr109","GUY002",56510169629.5461,56538193046.3537,0.999504345376151
"GUYr110","GUY002",16572602002.0523,16576606925.0121,0.999758399111593
"HNDr101","GTM003",4452325240.41671,4452325240.41708,0.999999999999917
"HNDr102","GTM003",8414692234.51763,8414692234.51806,0.999999999999948
"HNDr103","GTM003",4777512363.55243,4925951305.23397,0.969865934012824
"HNDr104","GTM003",3320206293.26768,3320206293.26762,1.00000000000002
"HNDr105","GTM003",3948229059.04966,3948229059.04989,0.999999999999941
"HNDr107","GTM003",3482210612.35995,7373700701.47155,0.472247349511354
"HNDr108","GTM003",3921819727.25773,8556510437.84724,0.458343358048241
"HNDr109","GTM003",6062389725.85259,16346758414.5957,0.370861890296218
"HNDr110","GTM003",1493564986.59781,3148789788.94291,0.474329849468679
"HNDr111","GTM003",231708140.256353,231708140.256427,0.999999999999679
"HNDr112","GTM003",818416701.022845,2447047699.10578,0.334450653055074
"HNDr113","GTM003",1852824015.46435,4249827399.07219,0.435976297735963
"HNDr114","GTM003",866301584.916731,1694384812.91093,0.511277944842079
"HNDr115","GTM003",22897457476.2234,24261866928.2787,0.943763212613082
"HNDr116","GTM003",5089777143.40468,5089777143.40448,1.00000000000004
"HNDr118","GTM003",7788094874.9143,7788094874.91385,1.00000000000006
"HUNr101","HUN001",7056054062.89402,7056151239.39398,0.999986228115489
"HUNr102","HUN001",10892611019.8132,10892654051.7976,0.999996049449085
"HUNr103","HUN001",11412076298.7067,11428943925.4523,0.998524130763468
"HUNr104","HUN001",14187780999.1372,14187908547.4955,0.999991010066221
"HUNr105","HUN001",13403767037.2502,13404161234.157,0.999970591452917
"HUNr106","HUN001",17773154490.4244,17774602509.9063,0.999918534353657
"HUNr107","HUN001",18294169951.2804,18295293446.5677,0.999938591021203
"IDNr123","IDN010",125578797961.109,195976457433.564,0.64078512085402
"INDr102","IND002",25226106418.0205,78492496811.8755,0.321382392491354
"INDr102","IND004",26627914641.1028,78492496811.8755,0.339241529097009
