isocode3,country,u5mort_2011_rto_GDL,u5mort_2015_rto_GDL,u5mort_2005_rto_GDL,u5mort_2009_rto_GDL,u5mort_2017_rto_GDL,u5mort_2002_rto_GDL,u5mort_2013_rto_GDL,u5mort_2019_rto_GDL,u5mort_2000_rto_GDL,u5mort_2016_rto_GDL,u5mort_2010_rto_GDL,u5mort_2006_rto_GDL,u5mort_2023_rto_GDL,u5mort_1996_rto_GDL,u5mort_2004_rto_GDL,u5mort_2014_rto_GDL,u5mort_2022_rto_GDL,u5mort_2012_rto_GDL,u5mort_2001_rto_GDL,u5mort_2018_rto_GDL,u5mort_2021_rto_GDL,u5mort_1998_rto_GDL,u5mort_2003_rto_GDL,u5mort_2008_rto_GDL,u5mort_1994_rto_GDL,u5mort_1997_rto_GDL,u5mort_1995_rto_GDL,u5mort_2007_rto_GDL,u5mort_1999_rto_GDL,u5mort_2020_rto_GDL,u5mort_1992_rto_GDL,u5mort_1993_rto_GDL,u5mort_2024_rto_GDL,u5mort_1991_rto_GDL
MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.597,NA,NA,NA,NA,NA,NA,NA,83.91,NA,NA,NA
MOZ,Mozambique,107.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.304,NA,NA,NA,NA,NA,177.944,NA,NA,218.064,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,Namibia,NA,NA,NA,NA,NA,NA,58.848,NA,60.211,NA,NA,68.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.516,NA,NA,NA
NPL,Nepal,62.389,NA,NA,NA,NA,NA,NA,31.183,NA,46.131,NA,79.132,NA,NA,NA,NA,37.492,NA,108.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.605,NA,NA,56.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA,Nigeria,NA,NA,NA,NA,NA,NA,143.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.747,110.824,NA,216.534,170.393,NA,NA,NA,NA,132.024,NA,NA,NA,NA,NA
MKD,North Macedonia,NA,NA,15.131,NA,NA,NA,NA,9.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.953,NA,77.592,NA,NA,NA,NA,NA,NA,NA,93.311,NA,NA,NA,NA,NA,120.429
PNG,Papua New Guinea,NA,NA,NA,NA,51.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,Paraguay,NA,NA,NA,NA,NA,49.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,Peru,25.894,NA,NA,30.771,NA,NA,NA,NA,60.358,NA,27.119,31.396,NA,68.319,40.723,NA,NA,25.23,NA,NA,NA,NA,NA,33.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,Philippines,NA,NA,NA,NA,27.964,NA,32.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.716,NA,NA,NA,NA,54.933,41.522,37.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWA,Rwanda,NA,67.114,182.244,NA,NA,NA,NA,NA,206.254,NA,102.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.748,162.385,NA,NA,NA
SRB,Serbia,NA,NA,27.794,NA,NA,NA,NA,2.12,NA,NA,6.911,NA,NA,NA,NA,6.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,Somalia,74.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
